,Mass_%_Recovered,Temperature,Average,Standard_Deviation,Acronym
10,90,629.4,604.2,44.4,LSB
11,95,,658.8,39.0,LSB
12,99,,690.5,16.7,LSB
0,IBP,34.2,8.8,23.0,MSB
1,5,54.9,46.3,17.9,MSB
2,10,79.7,86.5,16.4,MSB
3,20,165.6,143.7,24.3,MSB
4,30,232.4,204.3,29.6,MSB
5,40,290.8,268.0,28.4,MSB
6,50,345.8,328.7,27.4,MSB
7,60,405.4,389.7,28.3,MSB
8,70,469.9,456.0,32.5,MSB
9,80,561.6,542.6,43.0,MSB
10,90,716.1,654.3,42.2,MSB
11,95,,667.4,36.1,MSB
12,99,,,,MSB
0,IBP,34.1,2.4,22.6,MSW(S)
1,5,40.8,39.1,12.6,MSW(S)
2,10,64.0,86.7,12.8,MSW(S)
3,20,125.7,139.3,15.8,MSW(S)
4,30,189.1,198.4,20.0,MSW(S)
5,40,249.7,254.8,16.9,MSW(S)
6,50,307.7,308.3,16.0,MSW(S)
7,60,368.5,363.8,16.9,MSW(S)
8,70,433.2,423.3,16.7,MSW(S)
9,80,514.5,496.4,20.7,MSW(S)
10,90,660.6,612.7,30.4,MSW(S)
11,95,,681.9,23.1,MSW(S)
12,99,,,,MSW(S)
0,IBP,34.2,15.2,18.9,PCH
1,5,56.3,54.9,18.5,PCH
2,10,109.6,116.2,22.0,PCH
3,20,249.9,240.6,17.8,PCH
4,30,328.8,325.8,15.5,PCH
5,40,397.9,394.7,15.6,PCH
6,50,462.0,457.4,15.7,PCH
7,60,534.1,523.7,16.4,PCH
8,70,619.9,600.3,18.8,PCH
9,80,716.3,689.7,21.9,PCH
10,90,,,,PCH
11,95,,,,PCH
12,99,,,,PCH
0,IBP,33.4,18.6,20.9,PSY
1,5,118.3,105.3,22.6,PSY
2,10,156.2,152.8,20.5,PSY
3,20,214.3,210.0,14.7,PSY
4,30,251.5,247.6,13.4,PSY
5,40,283.3,279.1,13.4,PSY
6,50,312.0,307.1,13.4,PSY
7,60,341.4,334.7,14.1,PSY
8,70,372.6,363.9,14.8,PSY
9,80,409.9,398.5,15.9,PSY
10,90,455.6,444.9,16.0,PSY
11,95,494.3,485.7,16.9,PSY
12,99,586.0,577.0,26.0,PSY
0,IBP,-0.5,16.0,18.2,SYB
1,5,99.2,93.5,18.9,SYB
2,10,183.1,168.5,22.0,SYB
3,20,267.3,256.0,11.7,SYB
4,30,321.6,314.6,11.8,SYB
5,40,365.6,365.2,14.1,SYB
6,50,412.0,417.6,19.5,SYB
7,60,465.9,477.6,27.7,SYB
8,70,549.9,561.6,34.0,SYB
9,80,663.2,662.7,26.6,SYB
10,90,,,,SYB
11,95,,,,SYB
12,99,,,,SYB
0,IBP,33.2,13.6,17.8,SYN
1,5,113.9,85.7,18.3,SYN
2,10,154.4,133.6,19.6,SYN
3,20,215.8,205.1,13.2,SYN
4,30,259.7,249.2,11.2,SYN
5,40,296.3,285.2,10.3,SYN
6,50,327.6,316.4,9.6,SYN
7,60,358.1,347.3,9.3,SYN
8,70,389.4,378.9,9.5,SYN
9,80,422.8,414.4,9.3,SYN
10,90,464.1,459.9,11.3,SYN
11,95,498.0,498.2,14.1,SYN
12,99,579.9,589.2,28.4,SYN
0,IBP,33.5,33.7,1.1,MBL
1,5,36.4,49.5,14.2,MBL
2,10,49.5,88.4,21.7,MBL
3,20,94.2,162.9,33.1,MBL
4,30,129.0,233.2,44.7,MBL
5,40,185.2,296.5,44.5,MBL
6,50,264.2,359.4,39.2,MBL
7,60,343.2,421.2,34.4,MBL
8,70,428.3,492.1,34.2,MBL
9,80,534.5,584.0,39.5,MBL
10,90,706.3,685.6,27.2,MBL
11,95,,,,MBL
12,99,,,,MBL
0,IBP,32.4,33.7,1.2,MGS
1,5,58.4,44.3,11.5,MGS
2,10,102.8,72.7,20.4,MGS
3,20,151.9,114.2,25.8,MGS
4,30,218.8,171.3,35.3,MGS
5,40,277.7,247.8,47.2,MGS
6,50,331.2,326.2,49.3,MGS
7,60,388.3,402.3,49.6,MGS
8,70,448.4,481.7,56.9,MGS
9,80,520.5,578.9,65.7,MGS
10,90,627.3,662.4,36.9,MGS
11,95,709.8,,,MGS
12,99,,,,MGS
0,IBP,34.5,33.7,1.4,MSM
1,5,63.7,71.4,10.5,MSM
2,10,96.2,103.0,8.6,MSM
3,20,158.4,163.1,12.7,MSM
4,30,200.1,223.3,14.6,MSM
5,40,263.2,283.2,14.6,MSM
6,50,326.5,342.5,15.4,MSM
7,60,394.9,405.2,16.0,MSM
8,70,465.9,471.4,18.3,MSM
9,80,555.9,555.8,26.0,MSM
10,90,709.2,669.6,30.5,MSM
11,95,,685.6,29.5,MSM
12,99,,,,MSM
0,IBP,34.4,33.7,1.7,SPR
1,5,37.2,52.8,14.2,SPR
2,10,55.0,90.1,13.2,SPR
3,20,106.1,141.8,17.9,SPR
4,30,163.7,195.3,22.6,SPR
5,40,221.2,254.1,27.4,SPR
6,50,282.7,314.4,29.2,SPR
7,60,344.3,377.5,32.1,SPR
8,70,414.1,449.2,36.2,SPR
9,80,498.0,539.6,46.2,SPR
10,90,632.0,651.0,44.0,SPR
11,95,,681.8,25.6,SPR
12,99,,,,SPR
0,IBP,35.3,34.7,1.2,BCL
1,5,68.8,72.0,8.0,BCL
2,10,104.8,100.1,6.5,BCL
3,20,150.4,142.0,8.7,BCL
4,30,192.4,187.4,10.3,BCL
5,40,237.9,236.2,8.9,BCL
6,50,287.9,283.9,9.4,BCL
7,60,338.0,332.4,9.5,BCL
8,70,388.3,388.0,11.6,BCL
9,80,464.8,453.2,15.0,BCL
10,90,575.0,550.3,26.9,BCL
11,95,719.7,623.8,38.7,BCL
12,99,,,,BCL
0,IBP,35.6,34.4,1.0,BDY
1,5,80.6,77.3,6.0,BDY
2,10,110.5,106.2,5.8,BDY
3,20,162.1,157.2,7.7,BDY
4,30,215.5,210.5,8.1,BDY
5,40,262.5,260.0,7.4,BDY
6,50,310.1,310.1,7.8,BDY
7,60,360.5,363.7,10.1,BDY
8,70,417.3,424.1,11.3,BDY
9,80,480.5,494.4,15.2,BDY
10,90,567.0,602.5,30.1,BDY
11,95,629.5,666.0,33.7,BDY
12,99,708.1,,,BDY
0,IBP,34.8,33.5,1.4,CAL
1,5,37.0,54.7,14.6,CAL
2,10,99.5,94.1,10.3,CAL
3,20,152.8,149.5,15.0,CAL
4,30,199.8,202.7,17.1,CAL
5,40,256.9,262.3,19.1,CAL
6,50,313.6,320.9,18.7,CAL
7,60,371.0,382.8,20.3,CAL
8,70,432.8,448.3,22.8,CAL
9,80,517.3,530.9,34.5,CAL
10,90,628.8,634.0,36.2,CAL
11,95,714.7,685.0,25.6,CAL
12,99,,,,CAL
0,IBP,34.9,33.5,1.4,MJT
1,5,75.3,52.3,11.1,MJT
2,10,121.5,95.3,20.1,MJT
3,20,165.7,140.8,18.9,MJT
4,30,212.4,172.2,18.2,MJT
5,40,292.3,237.7,35.5,MJT
6,50,334.9,311.7,24.2,MJT
7,60,363.2,350.9,20.2,MJT
8,70,389.5,381.6,17.5,MJT
9,80,415.1,410.7,14.1,MJT
10,90,448.0,448.7,17.8,MJT
11,95,490.5,487.1,22.0,MJT
12,99,616.6,578.5,36.6,MJT
0,IBP,34.6,33.9,1.1,PLS
1,5,52.3,54.1,14.2,PLS
2,10,85.6,85.2,10.9,PLS
3,20,133.5,126.1,12.1,PLS
4,30,178.8,170.8,11.9,PLS
5,40,234.7,223.2,13.5,PLS
6,50,295.3,280.4,14.2,PLS
